---------
Variables: name (type shape) [size]
---------
model/h6/attn/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h6/ln_2/g:0 (float32_ref 768) [768, bytes: 3072]
model/h6/ln_2/b:0 (float32_ref 768) [768, bytes: 3072]
model/h6/mlp/c_fc/w:0 (float32_ref 1x768x3072) [2359296, bytes: 9437184]
model/h6/mlp/c_fc/b:0 (float32_ref 3072) [3072, bytes: 12288]
model/h6/mlp/c_proj/w:0 (float32_ref 1x3072x768) [2359296, bytes: 9437184]
model/h6/mlp/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h7/ln_1/g:0 (float32_ref 768) [768, bytes: 3072]
model/h7/ln_1/b:0 (float32_ref 768) [768, bytes: 3072]
model/h7/attn/c_attn/w:0 (float32_ref 1x768x2304) [1769472, bytes: 7077888]
model/h7/attn/c_attn/b:0 (float32_ref 2304) [2304, bytes: 9216]
model/h7/attn/c_proj/w:0 (float32_ref 1x768x768) [589824, bytes: 2359296]
model/h7/attn/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h7/ln_2/g:0 (float32_ref 768) [768, bytes: 3072]
model/h7/ln_2/b:0 (float32_ref 768) [768, bytes: 3072]
model/h7/mlp/c_fc/w:0 (float32_ref 1x768x3072) [2359296, bytes: 9437184]
model/h7/mlp/c_fc/b:0 (float32_ref 3072) [3072, bytes: 12288]
model/h7/mlp/c_proj/w:0 (float32_ref 1x3072x768) [2359296, bytes: 9437184]
model/h7/mlp/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h8/ln_1/g:0 (float32_ref 768) [768, bytes: 3072]
model/h8/ln_1/b:0 (float32_ref 768) [768, bytes: 3072]
model/h8/attn/c_attn/w:0 (float32_ref 1x768x2304) [1769472, bytes: 7077888]
model/h8/attn/c_attn/b:0 (float32_ref 2304) [2304, bytes: 9216]
model/h8/attn/c_proj/w:0 (float32_ref 1x768x768) [589824, bytes: 2359296]
model/h8/attn/c_proj/b:0 (float32_ref 768) [768, bytes: 3072]
model/h8/ln_2/g:0 (float32_ref 768) [768, bytes: 3072]
model/h8/ln_2/b:0 (float32_ref 768) [768, bytes: 3072]
model/h8/mlp/c_fc/w:0 (float32_ref 1x768x3072) [2359296, bytes: 9437184]
