0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
0 Loading dataset...
0 Loading dataset...
  0%|          | 0/1 [00:00<?, ?it/s]0 Loading dataset...
100%|██████████| 1/1 [00:00<00:00, 119.30it/s]0 dataset has 128814 tokens
0 Training...
100%|██████████| 1/1 [00:00<00:00, 122.40it/s]0 dataset has 128814 tokens
0 Training...
0 dataset has 128814 tokens
0 Training...
100%|██████████| 1/1 [00:00<00:00, 121.12it/s]0 dataset has 128814 tokens
0 Training...
2020-05-06 21:09:18.756497: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 21:09:18.860584: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 21:09:18.934383: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2020-05-06 21:09:18.948862: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
[114 | 230.80] loss=0.28 avg=1.82
[115 | 232.80] loss=0.60 avg=1.80
[116 | 234.79] loss=0.16 avg=1.78
[117 | 236.80] loss=0.54 avg=1.76
[118 | 238.79] loss=0.34 avg=1.74
[119 | 240.79] loss=0.31 avg=1.72
[120 | 242.79] loss=0.44 avg=1.70
[121 | 244.79] loss=0.32 avg=1.68
[122 | 246.78] loss=0.53 avg=1.66
[123 | 248.78] loss=0.25 avg=1.64
[124 | 250.77] loss=1.21 avg=1.64
[125 | 252.77] loss=0.17 avg=1.62
[126 | 254.77] loss=1.10 avg=1.61
[127 | 256.76] loss=0.13 avg=1.59
[128 | 258.75] loss=0.53 avg=1.58
[129 | 260.74] loss=0.20 avg=1.56
[130 | 262.75] loss=0.77 avg=1.55
[131 | 264.75] loss=0.27 avg=1.53
[132 | 266.76] loss=0.37 avg=1.51
[133 | 268.75] loss=0.55 avg=1.50
[134 | 270.74] loss=0.22 avg=1.48
[135 | 272.95] loss=1.49 avg=1.48
[136 | 274.94] loss=0.14 avg=1.46
[137 | 276.94] loss=0.18 avg=1.45
[138 | 278.94] loss=0.38 avg=1.43
[139 | 280.93] loss=0.27 avg=1.42
[140 | 282.91] loss=0.23 avg=1.40
[141 | 284.90] loss=0.16 avg=1.38
[142 | 286.92] loss=0.16 avg=1.37
[143 | 288.91] loss=0.51 avg=1.36
[144 | 290.91] loss=0.26 avg=1.34
[145 | 292.91] loss=1.04 avg=1.34
[146 | 294.90] loss=0.39 avg=1.33
[147 | 296.90] loss=0.17 avg=1.31
[148 | 298.91] loss=0.23 avg=1.30
[149 | 300.92] loss=0.10 avg=1.28
[150 | 302.93] loss=0.12 avg=1.27
[151 | 304.92] loss=1.07 avg=1.27
[152 | 306.93] loss=0.15 avg=1.25
[153 | 308.94] loss=0.12 avg=1.24
[154 | 310.95] loss=0.24 avg=1.22
[155 | 312.95] loss=0.08 avg=1.21
[156 | 314.94] loss=0.26 avg=1.20
[157 | 316.94] loss=0.19 avg=1.18
[158 | 318.95] loss=0.21 avg=1.17
[159 | 320.96] loss=0.21 avg=1.16
[160 | 322.96] loss=0.06 avg=1.15
[161 | 324.97] loss=0.17 avg=1.13
[162 | 326.96] loss=0.17 avg=1.12
[163 | 328.97] loss=0.26 avg=1.11
[164 | 330.97] loss=0.13 avg=1.10
[165 | 332.98] loss=0.27 avg=1.09
[166 | 334.99] loss=0.12 avg=1.08
[167 | 337.01] loss=0.16 avg=1.07
[168 | 339.02] loss=0.46 avg=1.06
[169 | 341.22] loss=0.08 avg=1.05
[170 | 343.21] loss=0.17 avg=1.04
[171 | 345.22] loss=0.10 avg=1.02
[172 | 347.23] loss=0.15 avg=1.01
[173 | 349.23] loss=0.08 avg=1.00
[174 | 351.23] loss=0.09 avg=0.99
[175 | 353.25] loss=0.20 avg=0.98
[176 | 355.26] loss=0.07 avg=0.97
[177 | 357.26] loss=0.12 avg=0.96
[178 | 359.25] loss=0.08 avg=0.95
[179 | 361.28] loss=0.12 avg=0.94
[180 | 363.29] loss=0.11 avg=0.93
[181 | 365.30] loss=0.13 avg=0.92
[182 | 367.29] loss=0.13 avg=0.91
[183 | 369.32] loss=0.15 avg=0.90
[184 | 371.34] loss=0.08 avg=0.89
[185 | 373.35] loss=0.13 avg=0.88
[186 | 375.35] loss=0.30 avg=0.88
[187 | 377.37] loss=0.06 avg=0.87
[188 | 379.37] loss=0.11 avg=0.86
[189 | 381.38] loss=0.09 avg=0.85
[190 | 383.40] loss=0.18 avg=0.84
[191 | 385.40] loss=0.06 avg=0.83
[192 | 387.41] loss=0.05 avg=0.82
[193 | 389.43] loss=0.20 avg=0.82
[194 | 391.42] loss=0.08 avg=0.81
[195 | 393.45] loss=0.14 avg=0.80
[196 | 395.47] loss=0.08 avg=0.79
[197 | 397.49] loss=0.33 avg=0.79
[198 | 399.51] loss=0.10 avg=0.78
[199 | 401.52] loss=0.06 avg=0.77
[200 | 403.52] loss=0.07 avg=0.76
[201 | 405.55] loss=0.16 avg=0.75
[202 | 407.57] loss=0.07 avg=0.75
[203 | 409.58] loss=0.07 avg=0.74
[204 | 411.59] loss=0.06 avg=0.73
[205 | 413.60] loss=0.12 avg=0.72
[206 | 415.61] loss=0.12 avg=0.72
[207 | 417.63] loss=0.10 avg=0.71
[208 | 419.64] loss=0.08 avg=0.70
[209 | 421.65] loss=0.09 avg=0.70
[210 | 423.65] loss=0.04 avg=0.69
[211 | 425.67] loss=0.10 avg=0.68
[212 | 427.69] loss=0.12 avg=0.68
[213 | 429.70] loss=0.07 avg=0.67
[214 | 431.72] loss=0.09 avg=0.66
[215 | 433.72] loss=0.06 avg=0.66
[216 | 435.74] loss=0.04 avg=0.65
[217 | 437.74] loss=0.06 avg=0.64
[218 | 439.77] loss=0.08 avg=0.64
[219 | 441.79] loss=0.08 avg=0.63
[220 | 443.81] loss=0.07 avg=0.62
[221 | 445.82] loss=0.06 avg=0.62
[222 | 447.83] loss=0.52 avg=0.62
[223 | 449.85] loss=0.06 avg=0.61
[224 | 451.86] loss=0.10 avg=0.60
[225 | 453.89] loss=0.04 avg=0.60
[226 | 455.91] loss=0.07 avg=0.59
[227 | 457.90] loss=0.04 avg=0.59
[228 | 459.93] loss=0.10 avg=0.58
[229 | 461.94] loss=0.10 avg=0.57
[230 | 463.95] loss=0.09 avg=0.57
[231 | 465.98] loss=0.06 avg=0.56
[232 | 467.99] loss=0.06 avg=0.56
[233 | 469.99] loss=0.05 avg=0.55
[234 | 472.00] loss=0.10 avg=0.55
[235 | 474.02] loss=0.05 avg=0.54
[236 | 476.05] loss=0.05 avg=0.54
[237 | 478.07] loss=0.06 avg=0.53
[238 | 480.06] loss=0.05 avg=0.53
[239 | 482.09] loss=0.13 avg=0.52
[240 | 484.09] loss=0.04 avg=0.52
[241 | 486.12] loss=0.05 avg=0.51
[242 | 488.14] loss=0.05 avg=0.51
[243 | 490.16] loss=0.05 avg=0.50
[244 | 492.16] loss=0.06 avg=0.50
[245 | 494.17] loss=0.04 avg=0.49
[246 | 496.17] loss=0.04 avg=0.49
[247 | 498.20] loss=0.04 avg=0.48
[248 | 500.22] loss=0.08 avg=0.48
[249 | 502.23] loss=0.06 avg=0.47
[250 | 504.22] loss=0.06 avg=0.47
[251 | 506.27] loss=0.05 avg=0.46
[252 | 508.26] loss=0.04 avg=0.46
[253 | 510.28] loss=0.14 avg=0.46
[254 | 512.30] loss=0.05 avg=0.45
[255 | 514.32] loss=0.04 avg=0.45
[256 | 516.32] loss=0.06 avg=0.44
[257 | 518.36] loss=0.08 avg=0.44
[258 | 520.38] loss=0.05 avg=0.43
[259 | 522.40] loss=0.04 avg=0.43
[260 | 524.40] loss=0.05 avg=0.43
[261 | 526.39] loss=0.05 avg=0.42
[262 | 528.41] loss=0.06 avg=0.42
[263 | 530.42] loss=0.05 avg=0.41
[264 | 532.44] loss=0.07 avg=0.41
[265 | 534.44] loss=0.04 avg=0.41
[266 | 536.46] loss=0.05 avg=0.40
[267 | 538.46] loss=0.03 avg=0.40
[268 | 540.48] loss=0.04 avg=0.39
[269 | 542.48] loss=0.05 avg=0.39
