0 Loading checkpoint models/117M/model.ckpt
0 Loading dataset...
100%|██████████| 1/1 [00:00<00:00, 128.57it/s]0 dataset has 128814 tokens
0 Training...
2020-05-06 20:12:18.728700: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
[133 | 121.57] loss=1.82 avg=2.89
[134 | 122.49] loss=2.31 avg=2.88
[135 | 123.41] loss=1.92 avg=2.87
[136 | 124.32] loss=1.74 avg=2.85
[137 | 125.24] loss=1.92 avg=2.84
[138 | 126.16] loss=0.94 avg=2.82
[139 | 127.08] loss=3.85 avg=2.83
[140 | 128.00] loss=2.26 avg=2.82
[141 | 128.91] loss=1.49 avg=2.80
[142 | 129.83] loss=1.58 avg=2.79
[143 | 130.75] loss=1.83 avg=2.78
[144 | 131.67] loss=2.72 avg=2.77
[145 | 132.59] loss=1.97 avg=2.76
[146 | 133.50] loss=1.82 avg=2.75
[147 | 134.41] loss=2.37 avg=2.75
[148 | 135.33] loss=1.45 avg=2.73
[149 | 136.24] loss=1.89 avg=2.72
[150 | 137.16] loss=2.60 avg=2.72
[151 | 138.07] loss=3.01 avg=2.72
[152 | 138.99] loss=1.63 avg=2.71
[153 | 139.90] loss=1.87 avg=2.70
[154 | 140.82] loss=2.11 avg=2.69
[155 | 141.73] loss=1.38 avg=2.67
[156 | 142.65] loss=1.98 avg=2.66
[157 | 143.56] loss=1.56 avg=2.65
[158 | 144.48] loss=1.12 avg=2.63
[159 | 145.40] loss=1.55 avg=2.62
[160 | 146.32] loss=2.30 avg=2.61
[161 | 147.24] loss=3.22 avg=2.62
[162 | 148.16] loss=1.82 avg=2.61
[163 | 149.08] loss=2.53 avg=2.61
[164 | 150.01] loss=1.75 avg=2.60
[165 | 150.93] loss=1.53 avg=2.59
[166 | 151.85] loss=2.41 avg=2.58
[167 | 152.77] loss=1.05 avg=2.57
[168 | 153.70] loss=1.38 avg=2.55
[169 | 154.62] loss=1.77 avg=2.54
